country,annual_living_usd_min,annual_living_usd_max,source_url,retrieved_at,review_status,notes
Australia,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Australian universities
Belgium,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Belgian universities
Canada,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Canadian universities
China,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Chinese universities
France,,,,,needs_review,Fill one country-level annual living-cost range and apply to all French universities
Germany,,,,,needs_review,Fill one country-level annual living-cost range and apply to all German universities
Hong Kong,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Hong Kong universities
Italy,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Italian universities
Japan,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Japanese universities
Netherlands,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Dutch universities
New Zealand,,,,,needs_review,Fill one country-level annual living-cost range and apply to all New Zealand universities
Singapore,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Singapore universities
South Korea,,,,,needs_review,Fill one country-level annual living-cost range and apply to all South Korean universities
Switzerland,,,,,needs_review,Fill one country-level annual living-cost range and apply to all Swiss universities
United Kingdom,,,,,needs_review,Fill one country-level annual living-cost range and apply to all UK universities
United States,,,,,needs_review,Fill one country-level annual living-cost range and apply to all US universities
